reccount,polno,state,effdate,expdate,polage,cancel,reinstate,lapse,poltype,vehtype,deluxmulti,color,year,milecat,size,power,V96,deduct,county,limit,prem,incloss,claimct
215860,WEN9993270  ,AZ,20141230,20151230,6,0,0,0,delux,full,No,White,1982,4,2111,1,O              ,2500,9,100,1817,0,0
215869,WEN9993272  ,AZ,20141222,20151222,6,1,2,0,delux,full,No,White,2000,3,3700,1,H              ,2500,115,1000,3291,0,0
215903,WEN9993279  ,AZ,20141222,20151222,6,1,4,2,delux,full,No,White,1988,4,2400,0,               ,2500,127,500,2347,0,0
215922,WEN9993284  ,AZ,20141229,20151229,6,0,0,0,delux,full,No,White,1988,4,1322,1,H              ,1000,71,25,1699,0,0
215931,WEN9993286  ,AZ,20141223,20151223,6,0,1,1,delux,full,No,White,1963,4,2248,1,G              ,1000,9,100,3086,0,0
215941,WEN9993289  ,AZ,20141219,20151219,6,0,0,0,delux,full,No,Blue,2001,3,1176,1,H              ,1000,9,25,1231,0,0
215953,WEN9993291  ,AZ,20141218,20151218,6,0,0,0,stand,full,stand,White,1982,3,1074,0,G              ,1000,115,25,1518,0,0
215978,WEN9993300  ,AZ,20141209,20151209,6,0,0,0,stand,full,stand,Red,1986,5,1372,0,               ,1000,127,25,993,0,0
215989,WEN9993302  ,AZ,20141222,20151222,6,0,0,0,delux,stand,Yes,White,1984,4,1392,0,O              ,1000,127,100,1246,0,0
215996,WEN9993303  ,AZ,20141208,20151208,6,0,1,1,delux,full,No,White,1991,5,1408,0,               ,1000,105,25,1131,0,0
216008,WEN9993306  ,AZ,20141213,20151213,6,0,0,0,delux,full,No,Blue,1986,3,1908,0,G              ,1000,71,100,2374,0,0
216046,WEN9993319  ,AZ,20141207,20151207,6,0,3,3,delux,full,No,White,1959,9,1710,1,G              ,1000,9,100,2947,0,0
216053,WEN9993320  ,AZ,20141216,20151216,6,0,0,1,delux,full,No,White,1965,5,1176,1,O              ,1000,85,100,2363,0,0
216059,WEN9993321  ,AZ,20141212,20151212,6,1,2,0,delux,full,No,White,1936,4,1800,0,H              ,1000,81,500,3289,0,0
216072,WEN9993324  ,AZ,20141209,20151209,6,0,1,1,delux,full,No,White,1995,8,1738,1,H              ,2500,115,500,2309,0,0
216081,WEN9993326  ,AZ,20141215,20151215,6,0,0,0,delux,full,No,White,1963,4,1999,0,H              ,1000,71,500,3759,0,0
216089,WEN9993328  ,AZ,20141220,20151220,6,0,0,0,stand,full,stand,Blue,1986,3,1345,0,               ,500,103,25,1188,0,0
216102,WEN9993331  ,AZ,20141208,20151208,6,0,2,2,stand,lux,stand,Red,1976,6,1250,0,H              ,500,71,25,2032,0,0
216113,WEN9993335  ,AZ,20141214,20151214,6,1,2,0,delux,full,No,White,1966,3,975,0,               ,1000,73,25,708,0,0
216120,WEN9993336  ,AZ,20141223,20151223,6,0,0,0,delux,full,No,White,1998,5,1315,1,H              ,2500,81,100,1305,0,0
216129,WEN9993338  ,AZ,20141206,20151206,6,0,0,0,delux,full,No,White,1989,1,2138,0,G              ,1000,11,500,2307,0,0
216136,WEN9993339  ,AZ,20141205,20151205,6,0,0,0,delux,stand,No,White,1926,4,3056,2,H              ,1000,127,500,3821,0,0
216180,WEN9993352  ,AZ,20141208,20151208,6,0,1,1,delux,econ,No,White,1964,3,2039,0,H              ,1000,109,500,2062,0,0
216214,WEN9993367  ,AZ,20141209,20151209,6,0,1,1,delux,full,No,White,1965,4,1772,1,O              ,1000,9,25,1251,0,0
216229,WEN9993372  ,AZ,20141211,20151211,6,0,0,0,delux,full,No,White,1991,3,1189,1,H              ,1000,71,100,1924,0,0
216238,WEN9993374  ,AZ,20141216,20151216,6,0,2,3,delux,full,No,White,1959,4,2300,0,G              ,1000,27,100,1733,0,0
